nmse_db,scenario,num_trials,mean_weighted_sum_rate,std_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_ris_output_power,maximum_ris_output_power,mean_power_violation,maximum_power_violation,power_violation_probability,mean_beta_transmission,mean_active_amplitude,mean_requested_active_elements,mean_effective_active_elements,minimum_effective_active_elements,maximum_effective_active_elements,mean_disabled_active_elements,active_reduction_probability,passive_fallback_probability
-15.0,partial_active_optimized_beta,100,14.201734843255185,0.23165997200932825,14.192021798809684,14.211447887700686,14.300727510080016,16.51287707580203,0.0,0.0,0.0,0.503,1.0422994483725134,8.0,7.32,4,8,0.68,0.47,0.0
-15.0,passive_phase_aligned,100,15.254569332499543,0.22167956795498137,15.232297017664598,15.276841647334486,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-15.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-10.0,partial_active_fixed_beta,100,14.478996676631507,0.26313784964001957,14.474266436983838,14.483726916279176,7.9386908987161755,10.754824675299535,0.0,0.0,0.0,0.5,1.07096057592386,8.0,3.53,2,6,4.47,1.0,0.0
-10.0,partial_active_optimized_beta,100,14.480210580384695,0.2632770720670338,14.48105661477607,14.479364545993317,7.9386908987161755,10.754824675299535,0.0,0.0,0.0,0.503,1.07096057592386,8.0,3.53,2,6,4.47,1.0,0.0
-10.0,passive_phase_aligned,100,15.10980778683921,0.2256769177457402,15.084913584469877,15.134701989208542,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-10.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-5.0,partial_active_fixed_beta,100,14.406620497631787,0.30706728178056986,14.364673048509381,14.448567946754189,3.061459355511669,8.19433642893061,0.0,0.0,0.0,0.5,1.128716690450842,8.0,1.02,0,2,6.98,1.0,0.14
-5.0,partial_active_optimized_beta,100,14.406177759129546,0.3071820702587761,14.36069800810773,14.451657510151367,3.061459355511669,8.19433642893061,0.0,0.0,0.0,0.498,1.128716690450842,8.0,1.02,0,2,6.98,1.0,0.14
-5.0,passive_phase_aligned,100,14.63430344328612,0.26696710324616196,14.593847665727353,14.674759220844884,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
-5.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,partial_active_fixed_beta,100,13.379427399228241,0.5703149108278968,13.302131212837237,13.45672358561925,0.020005495357102568,2.000549535710257,0.0,0.0,0.0,0.5,1.0000872079867384,8.0,0.01,0,1,7.99,1.0,0.99
0.0,partial_active_optimized_beta,100,13.379427399228241,0.5703149108278966,13.302131212837237,13.45672358561925,0.020005495357102568,2.000549535710257,0.0,0.0,0.0,0.49999999999999994,1.0000872079867384,8.0,0.01,0,1,7.99,1.0,0.99
0.0,passive_phase_aligned,100,13.381642117938913,0.5684747188336766,13.304731039518794,13.458553196359038,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0
